case14
#gen_data
gen_id,ramp_limits,costs
1,2.96,545.0
2,1.25,452.0
3,0.69,249.0
4,0.69,373.0
5,0.79,622.0
#bus_data
bus_id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.217,0.234,0.203,0.203,0.238,0.219,0.234,0.2,0.196,0.209,0.196,0.238,0.196,0.195,0.225,0.204,0.227,0.201,0.209,0.216,0.203,0.222,0.212,0.228
3,0.942,0.9,1.014,1.007,0.888,0.908,0.942,0.869,0.936,0.945,0.94,0.999,0.886,0.871,0.972,1.02,0.859,0.881,0.985,0.912,0.935,0.974,0.879,0.99
4,0.478,0.487,0.434,0.479,0.509,0.432,0.471,0.431,0.519,0.47,0.503,0.449,0.441,0.479,0.443,0.467,0.439,0.524,0.487,0.443,0.492,0.501,0.497,0.505
5,0.076,0.082,0.073,0.072,0.077,0.081,0.069,0.078,0.081,0.073,0.075,0.075,0.075,0.082,0.082,0.071,0.073,0.081,0.076,0.077,0.077,0.069,0.07,0.069
6,0.112,0.107,0.104,0.103,0.119,0.112,0.113,0.109,0.119,0.102,0.123,0.115,0.112,0.106,0.105,0.121,0.112,0.111,0.122,0.103,0.103,0.102,0.103,0.112
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.295,0.289,0.273,0.284,0.274,0.268,0.279,0.275,0.27,0.309,0.311,0.323,0.271,0.298,0.313,0.272,0.316,0.275,0.324,0.31,0.303,0.289,0.318,0.277
10,0.09,0.093,0.095,0.086,0.092,0.087,0.093,0.089,0.099,0.082,0.099,0.096,0.091,0.081,0.084,0.095,0.089,0.096,0.085,0.092,0.086,0.091,0.09,0.088
11,0.035,0.036,0.035,0.038,0.037,0.038,0.034,0.032,0.036,0.038,0.032,0.034,0.036,0.036,0.037,0.032,0.036,0.038,0.035,0.033,0.032,0.036,0.033,0.035
12,0.061,0.061,0.067,0.056,0.064,0.057,0.066,0.066,0.059,0.064,0.062,0.066,0.06,0.064,0.063,0.061,0.057,0.058,0.065,0.06,0.063,0.059,0.059,0.066
13,0.135,0.13,0.128,0.141,0.132,0.147,0.148,0.123,0.144,0.123,0.124,0.148,0.14,0.142,0.139,0.137,0.139,0.13,0.142,0.125,0.136,0.147,0.123,0.124
14,0.149,0.144,0.154,0.159,0.15,0.143,0.156,0.145,0.159,0.152,0.157,0.163,0.158,0.137,0.159,0.152,0.147,0.153,0.159,0.159,0.153,0.161,0.16,0.138
